senderVpa,receiverVpa,amount,location
rsanjaymail@okicici,merchant@upi,500,Mumbai
rsanjaymail@okicici,merchant@upi,250000,Unknown
rsanjaymail@okicici,merchant@upi,5000,Delhi
rsanjaymail@okicici,merchant@upi,150000,Foreign
rsanjaymail@okicici,merchant@upi,750,Bangalore
rsanjaymail@okicici,merchant@upi,500,Mumbai
rsanjaymail@okicici,merchant@upi,250000,Unknown
rsanjaymail@okicici,merchant@upi,5000,Delhi
rsanjaymail@okicici,merchant@upi,150000,Foreign
rsanjaymail@okicici,merchant@upi,750,Bangalore
rsanjaymail@okicici,merchant@upi,500,Mumbai
rsanjaymail@okicici,merchant@upi,250000,Unknown
rsanjaymail@okicici,merchant@upi,5000,Delhi
rsanjaymail@okicici,merchant@upi,150000,Foreign
rsanjaymail@okicici,merchant@upi,750,Bangalore
